INCIDENT_DATE,AIRPORT,LATITUDE,LONGITUDE,AIRCRAFT,DAMAGE_LEVEL
6/22/1996,SACRAMENTO INTL,38.69542,-121.59077,B-737-300,
6/26/1996,DENVER INTL AIRPORT,39.85841,-104.667,B-737-300,
7/1/1996,EPPLEY AIRFIELD,41.30252,-95.89417,B-757-200,N
7/1/1996,WASHINGTON DULLES INTL ARPT,38.94453,-77.45581,A-320,N
7/1/1996,LA GUARDIA ARPT,40.77724,-73.87261,A-320,M
5/6/1991,SAN ANTONIO INTL,29.53369,-98.46978,B-727-100,N
11/5/1993,KANSAS CITY INTL,39.29761,-94.71391,BE-1900,M
7/2/1995,KANSAS CITY INTL,39.29761,-94.71391,B-737-500,N
9/19/1990,DALLAS/FORT WORTH INTL ARPT,32.89595,-97.0372,MD-80,
5/3/1992,NORMAN Y. MINETA SAN JOSE INTL ARPT,37.36186,-121.92901,MERLIN IV,N
8/7/1990,LAMBERT-ST LOUIS INTL,38.74769,-90.35999,C-152,M
9/7/1990,AUGUSTA REGIONAL ARPT AT BUSH FLD,33.36996,-81.9645,DC-9,N
4/14/1995,ALEXANDRIA INTL,31.32737,-92.54856,C-152,N
12/8/1993,DALLAS/FORT WORTH INTL ARPT,32.89595,-97.0372,MD-11,N
9/1/1994,SYRACUSE HANCOCK INTL,43.11119,-76.10631,B-737-200,N
9/17/1990,OAKLAND COUNTY INTL,42.6652,-83.41871,C-182,N
7/13/1990,LOS ANGELES INTL,33.94254,-118.40807,MD-80,N
3/28/1991,WILLIAM P HOBBY ARPT,29.64542,-95.27889,B-737-300,N
4/28/1995,SAN FRANCISCO INTL ARPT,37.619,-122.37484,B-757-200,S
5/25/1990,CHICAGO MIDWAY INTL ARPT,41.78598,-87.75242,B-737,N
2/5/1991,SACRAMENTO INTL,38.69542,-121.59077,C-425,N
11/25/1991,TERRE HAUTE INTL ARPT-HULMAN FIELD,39.45146,-87.30756,C-152,N
10/9/1990,BUFFALO-NIAGARA INTL,42.94052,-78.73217,B-737,N
9/10/1990,LA GUARDIA ARPT,40.77724,-73.87261,MD-80,N
10/18/1991,DENVER STAPLETON ARPT,39.8584,-104.767,ATR-42,S
10/10/1990,DALLAS/FORT WORTH INTL ARPT,32.89595,-97.0372,B-757-200,N
5/5/1991,DALLAS LOVE FIELD ARPT,32.84711,-96.85177,B-737-500,N
5/21/1996,CLEVELAND-HOPKINS INTL ARPT,41.41089,-81.8494,B-757-200,N
2/22/1990,WASHINGTON DULLES INTL ARPT,38.94453,-77.45581,B-727,N
10/15/1990,DELAWARE COUNTY REGIONAL ARPT,40.24235,-85.39586,C-172,N
8/1/1993,LOUIE ARMSTRONG NEW ORLEANS INTL ARPT,29.99339,-90.25803,B-727,N
8/18/1996,CHICAGO O'HARE INTL ARPT,41.9796,-87.90446,B-757-200,N
9/19/1993,MANCHESTER AIRPORT,42.93452,-71.43706,BE-33,S
3/23/1991,EL PASO INTL ARPT,31.80667,-106.37781,B-727,N
10/26/1990,PORTLAND INTL (OR),45.58872,-122.5975,MD-80,N
8/22/1990,UNKNOWN,,,DC-9-30,N
4/30/1995,LOS ANGELES INTL,33.94254,-118.40807,B-737-500,N
8/19/1991,SAN ANTONIO INTL,29.53369,-98.46978,B-737-200,N
4/24/1991,SAN ANTONIO INTL,29.53369,-98.46978,MD-83,N
5/2/1990,BOB HOPE ARPT,34.20062,-118.3585,B-737,N
8/23/1990,LONG BEACH-DAUGH FLD,33.81772,-118.15161,MD-82,N
5/24/1992,UNKNOWN,,,C-180,M
8/8/1991,LANCASTER ARPT (PA),40.12172,-76.2961,PA-60 600,M
5/28/1990,PEORIA INTL ARPT,40.66424,-89.69331,SHORTS 360,N
6/26/1992,SOUTHWEST FLORIDA INTL ARPT,26.53617,-81.75517,SAAB-340,N
8/5/1990,BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,39.1754,-76.6682,FOKKER F28 MK 1000,N
8/23/1990,GOSHEN MUNICIPAL ARPT,41.52716,-85.7921,PA-31T CHEYENNE,N
3/18/1991,BRADLEY INTL,41.93887,-72.68323,MU2,N
6/27/1994,PENSACOLA INTL ARPT,30.47331,-87.18744,MD-88,N
9/14/1990,OAKLAND COUNTY INTL,42.6652,-83.41871,UNKNOWN,
8/28/1990,AUSTIN-BERGSTROM INTL,30.19453,-97.66987,B-737-200,N
5/10/1990,SAN FRANCISCO INTL ARPT,37.619,-122.37484,DC-10,
5/13/1990,TAMPA INTL,27.97547,-82.53325,B-737-300,N
9/28/1994,WILMINGTON AIR PARK,39.4233,-83.7885,DC-8-63,N
9/28/1994,RONALD REAGAN WASHINGTON NATIONAL ARPT,38.85208,-77.03772,BE-200 KING,N
8/30/1991,DETROIT METRO WAYNE COUNTY ARPT,42.21206,-83.34884,B-737-500,M
8/15/1991,THEODORE FRANCIS GREEN STATE,41.724,-71.42822,C-650,N
11/14/1991,RONALD REAGAN WASHINGTON NATIONAL ARPT,38.85208,-77.03772,B-737-300,N
7/11/1990,SAN FRANCISCO INTL ARPT,37.619,-122.37484,L-1011,N
7/9/1990,POCATELLO REGIONAL ARPT,42.91131,-112.59586,DHC8 DASH 8,N
7/12/1990,SAN FRANCISCO INTL ARPT,37.619,-122.37484,L-1011,
